Title,Link,Date,Source,Summary,Term,LanguageQueried
IMD alert: Andhra Pradesh braces for cyclone Montha; extremely heavy rainfall predicted in several states - ddnews.gov.in,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNMjNvYVl1QkkxbG1BVlRmS3JhZ0xrY2VzNTZETDBUUkJjOG5XeXQ3TWxVQ2czZkJXS3Q0R3Z5dkJLM2R0Z0Fsb0ZqSkt3eko1MFRfa25YSHlsWnBnX1NoRFNkMS12RGcwMWtNU29UdWhLOXhxeHJhekZieDZqQVluR0lhelA1UWx5bTdkeXQ3cEQ1MmktSEVtd3pnM3BqczdOQUg1Ulo5XzdYTUNRaXhha1E1U280MldRNDB6QjYxRWZvQmd0clRSZw?oc=5,2026-02-16 16:35:53,ddnews.gov.in,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNMjNvYVl1QkkxbG1BVlRmS3JhZ0xrY2VzNTZETDBUUkJjOG5XeXQ3TWxVQ2czZkJXS3Q0R3Z5dkJLM2R0Z0Fsb0ZqSkt3eko1MFRfa25YSHlsWnBnX1NoRFNkMS12RGcwMWtNU29UdWhLOXhxeHJhekZieDZqQVluR0lhelA1UWx5bTdkeXQ3cEQ1MmktSEVtd3pnM3BqczdOQUg1Ulo5XzdYTUNRaXhha1E1U280MldRNDB6QjYxRWZvQmd0clRSZw?oc=5"" target=""_blank"">IMD alert: Andhra Pradesh braces for cyclone Montha; extremely heavy rainfall predicted in several states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ddnews.gov.in</font>",Disaster,en
IMD alert: Andhra Pradesh braces for cyclone Montha; extremely heavy rainfall predicted in several states - ddnews.gov.in,https://news.google.com/rss/articles/CBMiyAFBVV95cUxNMjNvYVl1QkkxbG1BVlRmS3JhZ0xrY2VzNTZETDBUUkJjOG5XeXQ3TWxVQ2czZkJXS3Q0R3Z5dkJLM2R0Z0Fsb0ZqSkt3eko1MFRfa25YSHlsWnBnX1NoRFNkMS12RGcwMWtNU29UdWhLOXhxeHJhekZieDZqQVluR0lhelA1UWx5bTdkeXQ3cEQ1MmktSEVtd3pnM3BqczdOQUg1Ulo5XzdYTUNRaXhha1E1U280MldRNDB6QjYxRWZvQmd0clRSZw?oc=5,2026-02-16 16:35:53,ddnews.gov.in,"<a href=""https://news.google.com/rss/articles/CBMiyAFBVV95cUxNMjNvYVl1QkkxbG1BVlRmS3JhZ0xrY2VzNTZETDBUUkJjOG5XeXQ3TWxVQ2czZkJXS3Q0R3Z5dkJLM2R0Z0Fsb0ZqSkt3eko1MFRfa25YSHlsWnBnX1NoRFNkMS12RGcwMWtNU29UdWhLOXhxeHJhekZieDZqQVluR0lhelA1UWx5bTdkeXQ3cEQ1MmktSEVtd3pnM3BqczdOQUg1Ulo5XzdYTUNRaXhha1E1U280MldRNDB6QjYxRWZvQmd0clRSZw?oc=5"" target=""_blank"">IMD alert: Andhra Pradesh braces for cyclone Montha; extremely heavy rainfall predicted in several states</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ddnews.gov.in</font>",Disaster,en
